DATE,LONG CORRECT,SHORT CORRECT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-08-08,39,19,50,50,0.98,333,166
2019-08-11,20,46,50,50,0.69,386,231
2019-08-12,11,39,24,50,1.3108108108108107,501,363
2019-08-13,28,30,50,50,0.92,476,354
2019-08-14,14,36,45,50,0.8526315789473684,336,181
2019-08-15,25,26,35,50,1.0588235294117647,341,241
2019-08-18,49,14,50,50,0.69,342,172
2019-08-19,23,18,50,50,0.73,243,102
2019-08-20,23,20,30,50,1.1125,243,99
2019-08-21,34,17,50,44,0.925531914893617,283,131
2019-08-22,27,46,50,50,0.76,366,259
2019-08-25,19,45,36,50,1.0930232558139534,297,152
2019-08-26,40,33,50,50,0.95,292,144
2019-08-27,31,47,49,50,0.9292929292929293,290,155
2019-08-28,48,5,50,50,0.75,303,160
2019-08-29,43,21,50,50,0.69,153,79
2019-09-02,5,45,24,50,1.2027027027027026,341,211
2019-09-03,35,15,50,50,0.95,400,192
2019-09-04,46,16,50,50,0.85,457,289
2019-09-05,43,35,50,50,0.98,269,142
2019-09-08,28,13,50,50,0.97,353,189
2019-09-09,36,31,50,50,0.76,346,195
2019-09-10,43,31,50,50,0.9,290,164
2019-09-11,47,22,50,50,0.9,331,158
2019-09-12,29,25,50,50,0.96,276,115
2019-09-15,32,45,50,50,0.96,336,192
2019-09-16,34,29,50,50,0.89,305,183
2019-09-17,38,45,50,50,0.73,226,129
2019-09-18,22,29,35,50,1.0941176470588236,218,127
2019-09-19,34,34,50,50,0.87,165,101
2019-09-22,27,36,50,46,0.9583333333333334,292,150
2019-09-23,45,23,50,50,0.79,312,189
2019-09-24,14,46,32,50,1.1341463414634145,268,144
2019-09-25,39,27,50,50,0.82,282,160
2019-09-26,18,43,36,50,0.9651162790697675,223,127
2019-09-29,16,44,35,50,0.9411764705882353,274,145
2019-09-30,30,34,43,50,0.978494623655914,392,226
2019-10-01,18,49,50,50,0.8,414,323
2019-10-02,17,44,34,50,1.130952380952381,369,213
2019-10-03,47,21,50,50,0.69,221,116
2019-10-06,21,26,28,50,1.0512820512820513,285,124
2019-10-07,22,38,38,50,0.9431818181818182,404,301
2019-10-08,24,31,40,50,1.0555555555555556,283,164
2019-10-09,30,16,50,50,0.89,331,211
2019-10-10,49,17,50,50,0.88,423,285
2019-10-13,26,30,50,46,0.7916666666666666,251,116
2019-10-14,16,31,27,50,1.1818181818181819,346,182
2019-10-15,38,21,50,50,0.93,297,143
2019-10-16,41,22,50,50,0.85,337,161
2019-10-17,38,26,50,50,0.86,296,158
2019-10-20,37,24,46,50,0.96875,464,199
