DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-02-22,33,14,62.064765501016005,61.79807829857399,89.9384742403,89.05658068895002,50,50,0.88,242,242
2019-02-25,15,37,63.791721057901995,64.124708967204,113.363532445434,114.07268167733598,50,50,0.77,237,237
2019-02-26,21,28,82.40674572229803,82.769672679906,70.15094531059,70.15467242717601,50,50,0.83,274,274
2019-02-27,20,19,86.82857111454001,86.48272734165599,116.18543020486798,115.29480868816799,50,50,0.8,250,250
2019-02-28,29,15,82.52760039806199,81.94440068245602,111.87461593627201,110.576740512844,50,50,0.83,268,268
2019-03-01,33,16,87.95432803511802,87.79759776115999,106.01552853584401,106.104197630888,50,50,0.8,226,226
2019-03-04,16,41,67.93745341300801,68.17520951747798,127.08975868701,128.46300276756,50,50,0.79,225,225
2019-03-05,19,29,102.67204992771399,102.26440026759802,91.39274294137999,91.36050721883599,50,50,0.67,217,217
2019-03-06,14,40,105.9014506996796,107.00112142854898,74.76885995572856,75.77585144674897,49,49,0.7551020408163265,243,243
2019-03-07,6,40,71.61649598393468,72.98317095332449,100.62724335582448,101.97775392993674,49,49,0.8367346938775511,230,230
2019-03-08,40,18,44.910199680326,44.35260004044001,80.83459867477397,80.5081995821,50,50,0.72,191,191
2019-03-11,42,10,67.961199743748,66.70919901608998,48.75039960384801,48.30899983644199,50,50,0.79,210,210
2019-03-12,25,23,84.893213331702,87.80045013904598,79.41175672292799,79.09948730468601,50,50,0.68,190,190
2019-03-13,30,24,102.469580800522,102.35511494635801,65.74539985418001,65.567100696558,50,50,0.78,185,185
2019-03-14,28,22,65.222826762194,65.24526705265001,49.489600262638,49.61140014648799,50,50,0.79,171,171
2019-03-15,29,21,92.94191543341202,92.90164809464999,87.10071584940201,87.12014756440598,50,50,0.78,197,197
2019-03-18,35,16,107.37875710010196,106.90438346147998,103.03802390337201,102.41134593963599,50,50,0.84,221,221
2019-03-19,15,33,55.81394290447,56.324181404114,69.494560348992,70.001079926492,50,50,0.77,188,188
2019-03-20,19,37,99.29540049076006,99.59986582994398,110.27425013780405,110.21846709251399,50,50,0.75,236,236
2019-03-21,34,13,95.07739916801401,93.961549243926,111.13278460026004,110.15389320373399,50,50,0.79,213,213
2019-03-22,3,42,101.792494192128,104.48316142081602,102.84647165059401,104.98420854806601,50,50,0.76,218,218
2019-03-25,41,10,77.688297638892,76.94924356938199,84.79616659879201,83.87028872967,50,50,0.81,178,178
2019-03-26,28,22,85.24713726044,85.090403687958,69.158247966768,69.07417762518801,50,50,0.81,221,221
2019-03-27,22,30,65.725732160812,66.070839875938,91.21912029861602,91.63529698610404,50,50,0.79,221,221
2019-03-28,35,14,117.78089584112601,117.883675758838,75.91416232943202,75.390711275342,50,50,0.8,213,213
2019-03-29,36,17,69.75934248804602,69.4316170466,55.365139572618006,54.891952388288004,50,50,0.86,244,244
2019-04-01,32,24,97.92515711784601,97.159855896236,88.463521050218,88.47500335573999,50,50,0.9,284,284
2019-04-02,32,13,95.66900097847798,94.850998849866,71.23411935806199,70.83594110012399,50,50,0.92,215,215
2019-04-03,21,30,70.12034700751201,69.978034352068,101.96017845989,102.13223538279802,50,50,0.89,204,204
2019-04-04,39,16,79.82632629155799,78.919697003362,62.30426566601001,61.769379266506,50,50,0.87,206,206
2019-04-05,30,20,95.54779996752602,95.37700006843001,81.13432987093599,81.151225274808,50,50,0.78,180,180
2019-04-08,22,37,81.02882586240801,81.221443574426,88.80420034409,89.422750725742,50,50,0.8,194,194
2019-04-09,21,30,84.51326444029604,84.47532430052199,85.53976122335511,85.56604474539387,50,49,0.8080808080808081,212,212
2019-04-10,37,12,60.961246002947995,60.731929849219995,107.98981582165402,107.70003732919402,50,50,0.88,197,197
2019-04-11,34,17,94.32930298328199,93.84284347295801,89.65084889411199,89.19917284727002,50,50,0.76,205,205
2019-04-12,24,18,96.48379001498202,96.44937412977,103.286023849248,103.46322588681599,50,50,0.83,220,220
2019-04-15,19,23,50.63904833078799,50.73456213711999,68.14054711104001,67.761152117242,50,50,0.83,193,193
2019-04-16,31,22,95.752107224468,95.17762299060202,93.778510991336,94.35719189167402,50,50,0.88,257,257
2019-04-17,7,31,76.124915425776,77.49620582103802,109.448534891612,109.86662959336999,50,50,0.83,312,312
2019-04-18,22,32,57.496165223123995,57.616107091912,104.588174059392,104.652745301732,50,50,0.79,282,282
2019-04-22,35,20,114.77176629542399,113.60265763759801,75.475798680774,74.93819948912201,50,50,0.76,262,262
2019-04-23,39,11,78.43375342963263,77.34261666998572,96.20527767420002,95.010431504244,49,50,0.8484848484848485,343,343
2019-04-24,25,28,96.55085750501628,96.30503548407552,112.52465829849602,113.008379955294,49,50,0.898989898989899,378,378
2019-04-25,26,32,78.87144864081999,78.80524004458799,101.95790360927201,102.61569688796598,50,50,0.89,368,368
2019-04-26,33,13,65.82694986342999,65.526949710844,91.34525531768199,90.57189967632002,50,50,0.86,347,347
2019-04-29,29,21,115.833400545122,117.34079973697798,108.02322020531,107.911814651486,50,50,0.88,217,217
2019-04-30,26,22,55.41560009717599,55.564533765313996,105.23936055778597,104.76712216019797,50,50,0.91,342,342
2019-05-01,12,39,66.46900008678801,67.03419959544199,80.379801402094,81.53259352683801,50,50,0.88,430,430
2019-05-02,26,16,66.25283922194997,66.53497478484802,83.548850183492,83.06450000286,50,50,0.83,389,389
2019-05-03,13,31,76.38889994621799,77.07945108412801,100.13960009097599,100.885000634196,50,50,0.87,293,293
2019-05-06,34,16,56.281192319398,55.724414374828,84.72129927158599,83.70900030135999,50,50,0.92,389,389
2019-05-07,18,40,53.08339162748773,53.676166617142854,84.43478492021399,85.308923625948,49,50,0.7878787878787878,432,432
