,,,,,0.044%,-0.0069%,,,,,,,,0.09%,0.10%,,,,,,,,,,
DATE,long value,EARNING LONG,short value,EARNING SHORT,profit long,,,,DATE,long value,EARNING LONG,short value,EARNING SHORT,,,,,0,0,0,0,0,0,282,155
22 03 2019,1,1.012120183,1,1.008822018,1.21%,-0.008744871,,,22 03 2019,1,1.010439999,1,1.006352491,1.04%,-0.63%,,,,,,,,,,
25 03 2019,1,0.976030624,1,0.974494707,-2.40%,0.026172839,,,25 03 2019,1,0.983768951,1,0.970493492,-1.62%,3.04%,,,,,,,,,,
26 03 2019,1,1.012032386,1,1.009285193,1.20%,-0.009199772,,,26 03 2019,1,1.010371658,1,1.010811808,1.04%,-1.07%,,,,,,,,,,
27 03 2019,1,0.999947051,1,0.999334881,-0.01%,0.000665561,,,27 03 2019,1,1.013625565,1,0.999609639,1.36%,0.04%,,,,,,,,,,
28 03 2019,1,0.997886254,1,0.990208981,-0.21%,0.009887831,,,28 03 2019,1,0.987148404,1,0.991602883,-1.29%,0.85%,,,,,,,,,,
29 03 2019,1,1.003792525,1,1.0031367,0.38%,-0.003126892,,,29 03 2019,1,1.008478852,1,0.991334346,0.85%,0.87%,,,,,,,,,,
01 04 2019,1,1.004755113,1,0.999666833,0.48%,0.000333278,,,01 04 2019,1,0.996340455,1,1.013072821,-0.37%,-1.29%,,,,,,,,,,
02 04 2019,1,1.001784604,1,1.001628481,0.18%,-0.001625834,,,02 04 2019,1,1.000205323,1,1.00436942,0.02%,-0.44%,,,,,,,,,,
03 04 2019,1,1.005121104,1,1.011171522,0.51%,-0.011048098,,,03 04 2019,1,1.005156168,1,1.00816236,0.52%,-0.81%,,,,,,,,,,
04 04 2019,1,0.998812674,1,0.99652358,-0.12%,0.003488548,,,04 04 2019,1,0.997037691,1,1.002231692,-0.30%,-0.22%,,,,,,,,,,
05 04 2019,1,1.00892587,1,0.997444965,0.89%,0.00256158,,,05 04 2019,1,1.007495651,1,0.998943876,0.75%,0.11%,,,,,,,,,,
08 04 2019,1,1.007325037,1,0.998606602,0.73%,0.001395342,,,08 04 2019,1,1.006607021,1,0.998563108,0.66%,0.14%,,,,,,,,,,
09 04 2019,1,1.002250191,1,0.996617109,0.23%,0.003394373,,,09 04 2019,1,0.99958878,1,1.000069639,-0.04%,-0.01%,,,,,,,,,,
10 04 2019,1,0.994357156,1,0.998329806,-0.56%,0.001672988,,,10 04 2019,1,1.000380224,1,0.997818484,0.04%,0.22%,,,,,,,,,,
11 04 2019,1,1.002258797,1,1.002525462,0.23%,-0.0025191,,,11 04 2019,1,1.003368114,1,1.002544777,0.34%,-0.25%,,,,,,,,,,
12 04 2019,1,1.004697061,1,1.006672765,0.47%,-0.006628534,,,12 04 2019,1,1.002701834,1,1.000152586,0.27%,-0.02%,,,,,,,,,,
15 04 2019,1,0.999549989,1,0.990975206,-0.05%,0.009106982,,,15 04 2019,1,1.000470972,1,0.988840027,0.05%,1.13%,,,,,,,,,,
16 04 2019,1,1.001312469,1,1.008926817,0.13%,-0.008847834,,,16 04 2019,1,1.000072739,1,1.007894316,0.01%,-0.78%,,,,,,,,,,
17 04 2019,1,1.003081805,1,1.004678884,0.31%,-0.004657094,,,17 04 2019,1,0.995131542,1,1.002928345,-0.49%,-0.29%,,,,,,,,,,
18 04 2019,1,0.99610561,1,0.983558206,-0.39%,0.016716646,,,18 04 2019,1,0.998855581,1,0.985756841,-0.11%,1.44%,,,,,,,,,,
22 04 2019,1,0.99874357,1,0.99666804,-0.13%,0.003343099,,,22 04 2019,1,0.994895919,1,0.998397068,-0.51%,0.16%,,,,,,,,,,
23 04 2019,1,1.014378845,1,1.011162427,1.44%,-0.011039203,,,23 04 2019,1,1.010880865,1,1.005705472,1.09%,-0.57%,,,,,,,,,,
24 04 2019,1,1.011931792,1,1.009981327,1.19%,-0.009882685,,,24 04 2019,1,1.006879275,1,1.010110106,0.69%,-1.00%,,,,,,,,,,
25 04 2019,1,0.99965668,1,1.002227068,-0.03%,-0.002222119,,,25 04 2019,1,0.9914184,1,0.997837976,-0.86%,0.22%,,,,,,,,,,
26 04 2019,1,1.003277308,1,0.994542073,0.33%,0.005487879,,,26 04 2019,1,0.994986958,1,0.997048281,-0.50%,0.30%,,,,,,,,,,
29 04 2019,1,1.012817932,1,1.00446979,1.28%,-0.0044499,,,29 04 2019,1,1.004206881,1,1.0058711,0.42%,-0.58%,,,,,,,,,,
30 04 2019,1,1.001403621,1,1.001900613,0.14%,-0.001897008,,,30 04 2019,1,0.999556537,1,1.00298995,-0.04%,-0.30%,,,,,,,,,,
01 05 2019,1,1.001605121,1,1.000998182,0.16%,-0.000997187,,,01 05 2019,1,1.005398446,1,0.999441855,0.54%,0.06%,,,,,,,,,,
02 05 2019,1,0.988034545,1,0.994646701,-1.20%,0.005382111,,,02 05 2019,1,0.987418348,1,0.984871826,-1.26%,1.54%,,,,,,,,,,
03 05 2019,1,1.007280764,1,1.010596669,0.73%,-0.010485557,,,03 05 2019,1,1.009035438,1,1.009532664,0.90%,-0.94%,,,,,,,,,,
