DATE,long value,EARNING LONG,short value,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-02-15,9999.999999999995,10129.334642613307,10000.0,10117.526826056766,37,50,185,84
2019-02-19,10000.000000000002,10005.727321802251,10000.0,10015.017260962366,26,50,233,84
2019-02-20,9999.999999999998,10051.083874815293,10000.000000000007,10027.538089834865,35,49,214,91
2019-02-21,10000.0,10001.685366763506,10000.0,9990.95412386197,30,50,272,119
2019-02-22,10000.000000000002,9984.722153681694,10000.0,10037.618697379852,44,50,392,144
2019-02-25,10000.0,10174.37753909233,10000.0,10064.374526985406,32,50,276,95
2019-02-26,9999.999999999998,9792.50253479928,10000.0,9893.898653683882,35,50,266,100
2019-02-27,10000.000000000002,9965.50684312145,10000.0,10002.73432016771,31,50,287,127
2019-02-28,10000.000000000004,10038.509381942906,10000.0,9980.979939626195,33,50,311,124
2019-03-01,9999.999999999996,10025.781449491515,10000.000000000007,9955.512213891097,43,49,237,71
2019-03-04,10000.000000000002,10018.797431518098,10000.000000000007,10026.739642114535,22,49,236,109
2019-03-05,10000.0,9889.734402927324,10000.0,9969.610333469096,50,50,271,136
2019-03-06,9999.999999999993,9975.775745263101,10000.0,9911.824756034715,36,50,253,115
2019-03-07,10000.0,9867.749284536521,10000.0,9836.412713957907,50,50,271,106
2019-03-08,10000.0,9832.736125005276,10000.0,9920.154833473462,30,50,216,97
2019-03-11,9999.999999999996,10029.097252057547,10000.0,10048.459192650133,43,50,228,95
2019-03-12,9999.999999999998,10142.122166578374,10000.0,10198.392899590412,34,50,218,78
2019-03-13,10000.000000000002,10009.603724820952,10000.0,10050.948767855927,22,50,242,115
2019-03-14,10000.000000000002,9963.501430058961,10000.0,10052.602758612036,39,50,228,102
2019-03-15,9999.999999999998,10016.08073614409,10000.0,9992.123485232773,17,50,181,81
2019-03-18,10000.000000000002,9954.199493449922,9800.0,9890.039220013685,22,50,194,63
2019-03-19,9999.999999999998,10069.175989945701,9999.999999999998,10067.13335882833,34,28,194,65
2019-03-20,10000.000000000004,10068.859495702714,10000.000000000002,9911.932204821926,21,44,171,71
2019-03-21,9999.999999999998,9949.133333491776,9999.999999999996,10035.218353733751,28,43,169,69
2019-03-22,10000.0,10105.54097818333,10000.0,10040.375301490534,16,50,188,65
2019-03-25,9999.999999999998,9770.211412762788,10000.0,9754.359082124809,35,30,208,86
