DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-03-18,10099.174453182019,10000.0,10049.823644104496,10000.0,50,50,0.77,208,208
2019-03-19,9909.065145514483,10000.0,9924.395673998839,10000.0,50,50,0.8,184,184
2019-03-20,9921.738323574486,10000.0,9827.006251657927,10000.0,50,50,0.77,224,224
2019-03-21,10038.188507843546,10000.0,10090.974504195183,10000.0,50,50,0.77,222,222
2019-03-22,9790.868902499582,10000.0,9805.070107637683,10000.0,50,50,0.82,209,209
2019-03-25,10013.620439369974,10000.0,10157.813001783985,10000.0,50,50,0.9,172,172
2019-03-26,10009.701246744273,10000.0,9937.363209435774,10000.0,50,50,0.89,206,206
2019-03-27,9991.941226520468,10000.0,9866.484070287386,10000.0,50,50,0.92,221,221
2019-03-28,10153.708457715877,10000.0,10017.986068242377,10000.0,50,50,0.86,212,212
2019-03-29,10135.27228877806,10000.0,10085.443475997017,10000.0,50,50,0.88,228,228
2019-04-01,10165.669930876793,10000.0,10082.969256366627,10000.0,50,50,0.93,300,300
2019-04-02,10069.959093376661,10000.0,10061.844593762185,10000.0,50,50,0.88,213,213
2019-04-03,9982.5689814479,10000.0,9904.429118829517,10000.0,50,50,0.94,200,200
2019-04-04,10124.387409743968,10000.0,10098.481568537652,10000.0,50,50,0.88,206,206
2019-04-05,10033.196821035754,10000.0,10058.393703213867,10000.0,50,50,0.78,177,177
2019-04-08,10020.212111951567,10000.0,9947.936428679697,10000.0,50,50,0.85,191,191
2019-04-09,9963.3873247208,10000.0,9974.533318661672,10000.0,50,50,0.87,210,210
2019-04-10,10063.843201666528,10000.0,10026.633578579966,10000.0,50,50,0.84,190,190
2019-04-11,10076.232173047401,10000.0,10078.434776132885,10000.0,50,50,0.82,205,205
2019-04-12,9912.720733002816,10000.0,10012.849261412359,10000.0,50,50,0.82,210,210
2019-04-15,10022.848525923293,10000.0,9967.336888206242,10000.0,50,50,0.81,196,196
2019-04-16,10032.091608475543,10000.0,10064.817409761004,10000.0,50,50,0.85,259,259
2019-04-17,9837.738329308444,10000.0,9854.419960852985,10000.0,50,50,0.82,290,290
2019-04-18,9930.150747387723,10000.0,9976.226065633038,10000.0,50,50,0.76,267,267
2019-04-22,9991.665989768235,10000.0,9984.889129344974,10000.0,50,50,0.8,228,228
2019-04-23,10097.105457088795,10000.0,10076.112876868157,10000.0,50,50,0.92,310,310
2019-04-24,9887.706257063064,10000.0,9994.123091403082,10000.0,50,50,0.99,339,339
2019-04-25,9972.586837169454,10000.0,9956.769949699088,10000.0,50,50,0.96,366,366
2019-04-26,10033.661316027388,10000.0,10065.021529375526,10000.0,50,50,0.94,343,343
2019-04-29,10031.353699613952,10000.0,9968.999299464924,10000.0,50,50,0.9,216,216
2019-04-30,10097.039391675771,10000.0,9911.122565973434,10000.0,50,50,0.89,344,344
2019-05-01,9902.90149022265,10000.0,9832.255675149941,10000.0,50,50,0.8,389,389
2019-05-02,10040.84466350002,10000.0,10114.538649707973,10000.0,50,50,0.85,383,383
2019-05-03,9888.962616397477,10000.0,9938.138648540154,10000.0,50,50,0.76,269,269
2019-05-06,10113.439551552887,10000.0,9994.931093438376,10000.0,50,50,0.91,384,384
2019-05-07,9895.578522356947,10000.0,9896.402109133565,10000.0,50,50,0.87,408,408
2019-05-08,9885.83672477058,10000.0,9825.77086135817,10000.0,50,50,0.81,374,374
2019-05-09,10032.987411147955,10000.0,9972.122009795534,10000.0,50,50,0.8,442,442
2019-05-10,9950.225285055776,10000.0,9747.535141134662,10000.0,50,50,0.91,271,271
2019-05-13,9883.739177722267,10000.0,9876.987949838618,10000.0,50,50,0.91,276,276
2019-05-14,9961.476343517383,10000.0,10069.526907647512,10000.0,50,50,0.98,304,304
2019-05-15,10144.011069653068,10000.0,10076.532070724888,10000.0,50,50,0.94,299,299
2019-05-16,9917.212340790296,10000.0,9969.953954899096,10000.0,50,50,0.87,262,262
2019-05-17,9956.327191511295,10000.0,9834.928848684252,10000.0,50,50,0.89,258,258
2019-05-20,10058.990304920015,10000.0,10053.797497110436,10000.0,50,50,0.83,253,253
2019-05-21,9991.770992637823,10000.0,9934.055028463199,10000.0,50,50,0.83,267,267
2019-05-22,9914.01878613672,10000.0,9837.57812395415,10000.0,50,50,0.94,242,242
2019-05-23,10013.847520563193,10000.0,9915.444983917867,10000.0,50,50,0.96,317,317
2019-05-24,9968.735047636768,10000.0,10053.354230967696,10000.0,50,50,0.82,177,177
2019-05-28,9810.944571515862,10000.0,9809.2862987698,10000.0,50,50,0.78,180,180
2019-05-29,10073.564187955308,10000.0,10033.89961001831,10000.0,50,50,0.79,223,223
2019-05-30,9731.599251930873,10000.0,10069.617260453271,10000.000000000007,50,49,0.9494949494949495,241,241
2019-05-31,10023.212886783716,10000.0,10050.62507886093,10000.0,50,50,0.86,283,283
2019-06-03,10085.54474386724,10000.0,10095.403002463496,10000.0,50,50,0.75,301,301
2019-06-04,10191.07351138486,10000.0,10181.06522277735,10000.0,50,50,0.94,374,374
2019-06-05,9881.519562597903,10000.0,9831.876242330463,10000.0,50,50,0.95,260,260
2019-06-06,9916.167892391759,10000.0,10043.215360916704,10000.0,50,50,0.96,205,205
2019-06-07,10103.662478673727,10000.0,10092.652106128735,10000.0,50,50,0.87,215,215
2019-06-10,10097.400575633941,10000.0,10033.420636035647,10000.0,50,50,0.9,208,208
2019-06-11,9891.319285234687,10000.0,9747.413352490932,10000.0,50,50,0.86,245,245
2019-06-12,10049.316725212891,10000.0,10042.1137824223,10000.0,50,50,0.94,245,245
2019-06-13,10125.439607213564,10000.0,9985.914035459864,10000.0,50,50,0.92,190,190
2019-06-14,9966.443205604623,10000.0,9872.200293315698,10000.0,50,50,0.79,248,248
2019-06-17,9984.180565720964,10000.0,10119.398480449981,10000.0,50,50,0.89,212,212
2019-06-18,10047.755012704407,10000.0,10080.86460234899,10000.0,50,50,0.85,243,243
2019-06-19,10150.257227876311,10000.0,10196.071890603536,10000.0,50,50,0.73,204,204
2019-06-20,9932.20547784054,10000.0,9905.057074373917,10000.0,50,50,0.84,205,205
2019-06-21,10011.824448533693,10000.0,9968.364661213605,10000.0,50,50,0.83,140,140
2019-06-24,9900.30753085168,10000.0,9891.81874598692,10000.0,50,50,0.86,184,184
2019-06-25,10039.074960051708,10000.0,9932.294784682917,10000.0,50,50,0.89,216,216
2019-06-26,9963.968203537803,10000.0,9966.811277832508,10000.0,50,50,0.86,266,266
2019-06-27,10084.278357674526,10000.0,10029.958469535995,10000.0,50,50,0.82,220,220
2019-06-28,10171.331559465112,10000.0,10216.959373215577,10000.0,50,50,0.73,191,191
2019-07-01,9893.291939331253,10000.0,9965.705664043482,10000.0,50,50,0.81,271,271
2019-07-02,9950.13042275966,10000.0,10012.360738602241,10000.0,50,50,0.86,247,247
2019-07-03,9903.937698811407,10000.0,10016.294834824152,10000.0,50,50,0.91,129,129
2019-07-05,9985.199064661208,10000.0,9973.749807259766,10000.0,50,50,0.84,118,118
2019-07-08,9921.913186383246,10000.0,9887.69051035127,10000.0,50,50,0.77,233,233
2019-07-09,10100.74626375139,10000.0,10128.406642456413,10000.0,50,50,0.9,270,270
2019-07-10,10006.114317671327,10000.0,10039.01241012771,10000.0,50,50,0.81,260,260
2019-07-11,9915.702543569041,10000.0,9939.466401775782,10000.0,50,50,0.95,274,274
2019-07-12,10113.265037486213,10000.0,10095.982442926472,10000.0,50,50,0.82,205,205
2019-07-15,9983.977308359277,10000.0,9938.483210212802,10000.0,50,50,0.93,210,210
2019-07-16,9925.85152460491,10000.0,9925.677784719575,10000.0,50,50,0.91,200,200
2019-07-17,10012.618320880945,10000.0,9877.636646254261,10000.0,50,50,0.86,265,265
2019-07-18,10017.804777055222,10000.0,10058.147907293955,10000.0,50,50,0.84,249,249
2019-07-19,9941.157043489098,10000.0,10208.608991913114,10000.0,50,50,0.94,180,180
2019-07-22,10042.963127182064,10000.0,9975.69990257559,10000.0,50,50,0.89,213,213
2019-07-23,10013.685716082231,10000.0,10010.259905411867,10000.0,50,50,0.91,371,371
2019-07-24,10024.317527293171,10000.0,9990.246170378145,10000.0,50,50,0.84,339,339
2019-07-25,9900.915838885516,10000.0,9956.64368619991,10000.0,50,50,0.94,407,407
2019-07-26,10093.238315839884,10000.0,10024.280133696877,10000.0,50,50,0.92,406,406
2019-07-29,9942.384706884195,10000.0,9766.972730725094,10000.0,50,50,0.96,401,401
2019-07-30,10117.73192880735,10000.0,10112.917033033149,10000.0,50,50,0.75,484,484
