DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-02-18,21,27,1911.1849927903997,1906.9150160553002,3819.399398565099,3853.1068091391,32,50,0.9024390243902439,264,100
2019-02-19,18,22,2500.4240002631,2502.1099834443,2479.5670725105997,2474.646407723301,32,50,0.9390243902439024,288,126
2019-02-20,21,38,1599.1599965093997,1580.189989805,2434.412740111499,2475.1246871947997,33,50,1.036144578313253,309,123
2019-02-21,24,27,3415.5926287172992,3388.2665069102995,2371.4324762819,2392.6816660165996,43,49,0.717391304347826,205,71
2019-02-24,19,15,1614.2899880408995,1558.3199934957997,6448.265049457002,6376.289957761502,22,49,1.3098591549295775,237,109
2019-02-25,19,35,4121.410335063801,4118.686259746501,3321.8541030883002,3364.9283933635993,50,50,0.74,274,137
2019-02-26,19,23,3732.2742422821,3775.3574507832004,3517.1249642371004,3508.7830009463,36,50,1.0465116279069768,250,116
2019-02-27,31,31,5030.8021891114995,5042.8901238441995,3246.7700178024006,3294.2100016476,50,50,0.71,268,104
2019-02-28,21,27,2219.6367483138,2192.7416319848,2590.3200056553014,2612.8599960803995,30,50,1.1,194,95
2019-03-03,25,25,3443.7500178813016,3430.5799852610003,5015.660040140299,4954.773615837101,43,50,0.7634408602150538,225,96
2019-03-04,13,36,2531.4658371213995,2554.6009302141,4591.557025074899,4656.266708374201,34,50,0.7261904761904762,217,78
2019-03-05,15,31,1983.699994564,1956.0899868011,2589.7430605886993,2598.8505052331,22,50,1.0416666666666667,243,115
2019-03-06,15,41,2946.789974868199,2954.2400269507993,5511.0368090867,5594.7530338763,39,50,0.7078651685393258,230,102
2019-03-07,5,36,1223.4999914169,1233.1649981736,1723.0913161040999,1770.3856115938001,17,50,0.9104477611940298,166,80
2019-03-10,18,25,1241.2699953316996,1213.2700040339002,3002.880007982401,2994.8400223257004,22,50,0.8055555555555556,210,64
2019-03-11,25,6,1977.3299543857001,1945.3401937487,2005.5599784850003,2013.8500001429,35,29,0.96875,190,64
2019-03-12,13,24,1924.6116852758998,1894.9250051974,2150.6114990712003,2347.5509914159993,21,43,0.90625,185,72
2019-03-13,18,20,2228.104998827,2218.2335035804,2489.393340707,2498.8866493704004,28,44,0.8055555555555556,171,69
2019-03-14,10,25,744.8100117445999,741.3699949978999,3658.7249755261,3643.1675157547998,16,50,0.8636363636363636,167,64
2019-03-17,29,15,3515.4150357244994,3470.4899792670994,1640.9599726198003,1645.7800019978006,35,29,1.265625,221,87
2019-03-18,29,18,2817.2160066964007,2780.8153442741004,2904.3932613130996,2939.8265796902,37,50,0.632183908045977,188,65
2019-03-19,8,29,2264.7100346088,2271.2749922276994,5242.045291781299,5296.7137703896005,25,40,1.2615384615384615,236,99
2019-03-20,28,32,4909.7175011636,4826.587502479401,3270.3699649571,3290.920000672401,41,50,0.9340659340659341,213,106
2019-03-21,44,23,3850.5602352618002,3760.5803272725,2971.0400358436996,2956.2100208992983,50,46,0.6458333333333334,189,106
2019-03-24,5,50,1317.9742817878,1342.4551210401999,2777.6995141508,2894.717963695999,15,50,0.7692307692307693,178,51
2019-03-25,13,9,1345.2650090456,1313.2599823475002,1871.7965261938998,1876.5352268221,21,30,1.5098039215686274,221,111
2019-03-26,18,23,1528.1671410800002,1505.4169822335,4304.020806551201,4305.657862662899,32,50,1.0731707317073171,221,102
2019-03-27,23,35,2793.472523212299,2778.0342946053997,2823.5194218160996,2933.0787312985003,39,50,0.8764044943820225,213,101
2019-03-28,27,19,1661.7608559132996,1645.0310459136003,2368.6642363669994,2356.9174990059,35,50,0.7647058823529411,197,76
2019-03-31,36,12,2902.0451085567006,2832.3414199353997,2188.2699909207004,2185.1699892283,43,33,1.1973684210526316,284,179
2019-04-01,41,20,3034.7330021855005,2989.5160205363004,2953.6074886921006,2935.9449853298997,50,50,0.79,215,90
2019-04-02,34,27,4631.8611919884,4601.1914901732,2147.3300075533,2173.3910099270997,50,40,0.9777777777777777,204,105
2019-04-03,29,33,4391.2181007864,4383.924552559898,2089.5378404855,2122.6980191468997,50,47,0.8969072164948454,206,93
2019-04-04,30,29,2548.2532685997007,2539.3112813231996,4572.8945065144,4637.740211844501,47,46,0.7526881720430108,159,73
2019-04-07,29,9,3927.7786696552002,3914.1346731782005,1741.8742675779001,1738.3169531821004,42,31,0.9863013698630136,194,75
2019-04-08,13,35,1499.1599998474,1504.0099716186005,3887.2300136088,3931.5899751186,23,50,1.1095890410958904,212,100
2019-04-09,20,35,5407.040037512601,5396.820014357398,3788.9600255487994,3806.5200006962004,39,50,0.9438202247191011,197,89
2019-04-10,29,26,1782.0227055548,1756.9795666932996,2445.0401301382994,2446.360233664601,38,50,0.7613636363636364,205,86
2019-04-11,21,28,1921.5449867248003,1901.3949999809,3592.1872180102996,3621.6819729803,26,50,1.1578947368421053,191,105
2019-04-14,31,29,3922.611597537801,3918.0537323950994,3175.3531305786996,3224.3646376134,50,50,0.88,193,94
2019-04-15,24,23,7337.023327828001,7289.636624813001,2745.8162584302995,2762.2711265683,47,47,1.0,257,147
2019-04-16,36,27,7745.597768962001,7694.3145763875,3170.5865997072997,3256.449880004001,50,50,0.86,312,182
2019-04-17,25,45,4551.620538234601,4530.195545434998,2995.5308356284995,3114.0037126539,46,50,0.78125,233,106
2019-04-21,15,33,2694.477612137901,2700.6307288409002,3001.8078492285003,3038.1487472654003,38,50,1.0,262,104
2019-04-22,28,29,3608.652801513699,3567.0550055505996,3048.8300113679998,3085.5600099562,42,50,1.0543478260869565,343,204
2019-04-23,44,18,2585.292794227601,2518.4767651558,3292.635851323401,3287.507503926901,50,49,0.98989898989899,378,210
2019-04-24,35,41,8699.712522268495,8633.060855031099,2325.0312261581003,2370.7607476712,50,50,0.95,368,223
2019-04-25,25,31,3656.0240771771,3659.0020306109996,2178.0491062400006,2200.0900331734,50,50,0.92,290,206
2019-04-28,41,18,3202.0900129081006,3128.2400063278005,4331.6414680482,4316.1108880041,50,50,0.8,217,96
2019-04-29,28,37,2252.8899026514996,2226.3098188043,3324.6778703333002,3388.1651453976015,36,50,1.1046511627906976,342,187
2019-04-30,32,36,3366.9302682876014,3334.4000287055997,2499.9699873922004,2538.0100202556996,50,50,0.91,430,202
2019-05-01,25,37,4253.920237302999,4239.784157753201,2665.5099904535004,2726.2100025417,50,50,0.89,389,201
2019-05-02,37,28,4575.457516193199,4508.714999675899,2672.6823194026992,2691.9920499326,50,50,0.94,248,131
2019-05-05,15,33,4731.440020680599,4771.2800074817,3008.5413741469,3048.6119720338,50,49,0.9090909090909091,389,231
2019-05-06,35,26,4424.849095582999,4349.806882143001,1833.8369898801,1847.0959925648997,45,50,0.8,432,234
2019-05-07,12,38,2501.220015049,2502.7399806976996,1722.5876119137,1755.7560853955,35,50,1.1764705882352942,413,192
2019-05-08,17,37,2173.5424180031,2179.550748825,2081.7590103151,2114.9219958184,50,50,0.97,442,265
2019-05-09,36,26,4916.9766168590995,4873.3483979704,2301.6424295306006,2308.451580465002,48,50,0.7755102040816326,248,145
2019-05-12,16,48,2704.8899766206,2738.0600171088,2717.8315482138,2784.2938387392005,34,50,0.7619047619047619,283,160
2019-05-13,6,36,1110.5425024032,1112.7949967386,3490.6218473911003,3528.5279464719,18,50,1.2647058823529411,310,173
2019-05-14,30,19,4161.710017204001,4153.9530212283,1142.5230351687999,1149.7587845623002,50,38,1.0568181818181819,307,169
2019-05-15,44,19,5844.3199493885,5688.265037536399,1914.9858035445004,1895.4333973526996,50,50,0.92,268,156
2019-05-16,23,34,4474.7300037147,4447.290015459098,3091.0042886731994,3128.5413274764014,50,50,0.68,239,125
2019-05-19,17,41,2515.7199859618995,2519.5699663164996,2617.810529947099,2644.7616262433985,37,50,0.8045977011494253,252,124
2019-05-20,19,26,2388.0250228045,2369.0442512038,3620.8960544467996,3623.9439542293003,29,50,1.1265822784810127,279,141
2019-05-21,35,25,2591.4272844791,2577.1122567652,3652.0120735170008,3654.392249703499,50,41,0.8791208791208791,256,157
2019-05-22,15,48,3250.6483361721,3231.9372987747006,2100.8964779680005,2177.7385556992003,37,50,0.7931034482758621,301,221
2019-05-23,16,34,2289.0900058746,2271.7900087836997,3777.8615105152003,3812.335689425699,30,50,0.6125,138,55
2019-05-27,16,12,1873.4699940681996,1861.350013733,3654.4099390507004,3676.2800745962995,31,24,1.1818181818181819,190,68
2019-05-28,16,34,859.7704036237001,853.7390258312,1891.9300112725002,1936.2299996613997,29,39,1.0,234,113
2019-05-29,17,33,1912.5125100612,1893.1475040911002,3275.973720788799,3308.6965496540006,27,50,0.987012987012987,239,105
2019-05-30,18,43,2215.4192264079,2211.2024526595005,2273.6299914717997,2351.0700058340994,35,50,0.8117647058823529,257,167
2019-06-02,23,33,31078.569838762498,33743.481915593205,2673.4723155497004,2703.8029971122005,31,50,1.037037037037037,304,123
2019-06-03,44,30,2960.655996084,2926.936011910401,6811.4840102795,6990.563857227602,50,50,0.93,377,261
