word,O+ value,O- value
provide,0.0015775635069427603,0.0019080807032117186
reach,0.0026431520830355578,0.0020862020377248173
award,0.0042709464441151946,0.003123816988069488
altern,0.001600878823531135,0.0008010812360979585
compare,0.0036011232667419756,0.005273183377173936
tumble,0.0025515761978675906,0.0038561807095740066
make,0.006318666054774098,0.005240613916925938
met,0.0018125243039962746,0.0010344333779487445
secondary,0.0008379848483445754,0.0013228577432830382
review,0.003936930985085275,0.0041578112990512915
dip,0.0007105457222655802,0.0013414352338045623
solid,0.0010120911306518942,0.0009448006901978831
milestone,0.0010859817216412944,0.0012098084766382683
payment,0.0018661962680088977,0.0038709249765639117
author,0.002552396334185501,0.0013045025963485325
recommend,0.00250650099448674,0.0016414682309230269
mention,0.0011245497599051478,0.0010881352364532112
win,0.006318428580893316,0.004324920340168531
script,0.0014782476976650922,0.001178687710127263
anthem,0.0,0.004607637449745524
exclusive,0.002605628185917642,0.0021808167678412115
rite,0.0039127069331697135,0.0005419990969570206
pop,0.0013325863187795437,0.000686397403922364
advisory,0.00023547117822792096,0.0021213735414429076
select,0.0027930341521973075,0.0014869831168900294
split,0.0014763413415064062,0.0017417603139736424
semiconductor,0.005477379533234175,0.0013121698506090014
construct,0.0014187678514907102,0.0012883548822248962
narrow,0.001192924856798493,0.00151721259734768
delay,0.000725838270426332,0.0016318717634999503
downside,0.0011594586120085635,0.0018489618723172632
final,0.0031728723061163243,0.002176108425454714
gross,0.0014657338528908284,0.0011669217997753757
proceed,0.0014143888085124629,0.000879511853349113
response,0.0015577373298489986,0.0025203676974508817
run,0.0023980478425052157,0.0007165605757824196
steel,0.00857733801837369,0.0007461587684957689
green,0.0016899030584790647,0.0018238099698053118
rally,0.004514324003969331,0.0017954382261943015
catalyst,0.0028901398892833934,0.003165782995811101
valuation,0.0014135664511620613,0.0017024077826140154
public,0.0022233045484376357,0.003417816543936328
brother,0.0018378080760190223,0.000426383507587994
pandora,0.005681980675611941,0.0008248441518313937
chief,0.0017212715442600495,0.001778442365468279
officer,0.00148103062131395,0.0015918999502258602
underweight,0.0010945063797217973,0.002543317529409857
know,0.0017822979030303928,0.001779364830592035
operating,0.003211591471015867,0.0038679297492089835
travel,0.0007266527933120433,0.0018895094728926106
virus,2.5495878565817207e-05,0.0028833095301405627
since,0.002933990805373358,0.0017887788240270128
apparel,0.0019145986916363823,0.00048239441228384246
face,0.0012862733160752217,0.001141091673503653
bed,8.235447515390134e-06,0.0013101601788493384
shelf,0.0012018639109725737,0.0019156625352247506
material,0.0016199576465184705,0.0023256136015520393
peer,0.000807507822896691,0.000806883343881391
resign,0.0012360731822683424,0.0024970670865720954
might,0.0017283108685171669,0.0016627634906344843
fast,0.006222621566807993,0.0033435435570640633
finish,0.0016970278336403963,0.0011972049692843638
beyond,0.00048042272168880994,0.0019163301619686839
crowd,0.0008796994755725666,0.001797775057280235
workday,0.0022255652312644335,0.0
cost,0.0023441844180760924,0.0030059410756413567
special,0.001268644861488589,0.0013114489023402865
breaker,0.0022348181613004417,0.0011949185026090385
find,0.0019668470391821483,0.0025164135576807925
challenge,0.0008083199647447118,0.0012834545101597223
loan,0.0018437693955943959,0.001396704512325292
horizon,0.0,0.004756780838481645
registration,0.000612331627389147,0.0012950575736896293
cover,0.0010727173968135383,0.0015290759843644567
seaport,0.0007783974050767551,0.0005179399845354072
entertain,0.0017501557113891535,0.0009617271298073897
semi,0.002134382961333973,0.0006477150557715203
laboratory,0.00025950343657767436,0.0016497541603388312
weigh,0.0026042659192518787,0.0023172294592838844
watcher,0.002165985895594741,5.0121996213509347e-05
clean,0.00085265676072595,0.001371613260543716
strength,0.002045706935629705,0.0012476371031642296
western,0.005780878153915235,0.0
yahoo,0.002004467720070728,0.0012334507512109835
preview,0.002722534857690764,0.002598465214490403
micron,0.0041690706326133736,3.0896117375425985e-05
bill,0.0011703893963049777,0.004217699657171962
bad,0.0014035092006038105,0.0017629232426842028
volatility,0.0017132867198905025,0.001372053529685501
fee,0.0007012162992781819,0.0018120967864699578
statement,0.001660465574890602,0.0019043084695785034
fire,0.0013225062856857157,0.0011997549397990872
compass,0.00025214755511890807,0.0012131593222395826
retire,0.0019243656022400082,0.001850124954584755
farmer,0.0015358697416312326,0.0004732070697564247
brazil,0.001047144480922347,0.002222284496343632
marvel,0.002165138826961341,0.0
star,0.0023366632279759967,0.0007048562362250845
investigation,0.0007358970806177156,0.0016093018891204112
decker,0.0008790914784223098,0.001668834133741305
deer,0.0001543046493651695,0.0022778224823807474
mortgage,0.0011779180146770272,0.0013378663852864055
hotel,0.0012088619831727028,0.0027902662410532464
petroleum,0.0035140418607869494,0.0009524051452856713
dynamic,0.0027566146265467694,0.00013375579134379778
marijuana,0.0020143454441283776,0.0006849646846592783
tanker,0.0019110652270273912,0.00038541124686001463
