DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-03-25,23,9,14.790362000600016,-35.46128034550002,29,50,1.1645569620253164,221,149
2019-03-26,35,23,29.000177025699983,-1.0429487832000053,49,50,0.9393939393939394,221,162
2019-03-27,28,35,22.762077390800023,108.84430479990003,50,50,0.92,213,150
2019-03-28,40,15,38.68981790579996,-7.765805363800064,50,50,0.94,197,136
2019-03-31,34,8,44.61999320960001,-74.78032064449997,50,50,0.98,284,219
2019-04-01,33,16,33.52001082879999,-49.36201608199996,50,50,0.92,215,153
2019-04-02,36,27,21.16831493439998,19.669973970000015,50,50,0.88,204,144
2019-04-03,30,32,9.377033352799945,16.218941450199953,50,50,0.9,206,138
2019-04-04,35,26,11.929446578199974,60.04861402479993,50,50,0.74,159,100
2019-04-07,33,17,18.604005098100053,-0.027287006400039893,50,40,1.011111111111111,194,137
2019-04-08,29,30,-5.336428642400011,22.64136981969999,50,49,0.8282828282828283,212,146
2019-04-09,26,34,20.18621492369995,9.087512731500023,44,50,0.9361702127659575,197,141
2019-04-10,37,25,39.07275843599999,-6.32994031899997,50,50,0.76,205,147
2019-04-11,30,23,21.331526279400038,4.014564394700051,41,50,1.010989010989011,191,143
2019-04-14,29,29,15.102860450600009,52.03152179749992,50,50,0.89,193,141
2019-04-15,24,25,14.296705723299944,13.79820424330006,50,50,0.92,257,209
2019-04-16,36,29,57.92311346540008,101.48903942149995,50,50,0.94,312,228
2019-04-17,20,49,12.69001185879999,214.73246479040003,50,50,0.87,233,161
