DATE,investment long,earning long,investment short,earning short,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-05-02,10000.0,9998.678246815336,10000.0,10026.192521518782,44,33,0.0,283,283
2019-05-03,10000.0,9888.604448207521,10000.000000000004,9916.455753631171,48,45,0.0,376,376
2019-05-06,9999.999999999998,10040.237363799,10000.000000000004,10074.441106973114,37,47,0.0,407,407
2019-05-07,10000.0,9733.08753132529,9999.999999999998,9967.504175158887,38,46,0.0,309,309
2019-05-08,10000.0,9909.850851409896,10000.000000000004,9824.509150022679,45,47,0.0,315,315
2019-05-09,10000.000000000002,9994.539311828676,10000.0,10135.80434399835,39,49,0.0,393,393
2019-05-10,9999.999999999996,9947.819673575486,10000.000000000002,9803.717701805612,35,48,0.0,402,402
2019-05-13,10000.0,10152.659793665225,9999.999999999996,9983.9919296278,31,46,0.0,413,413
2019-05-14,10000.000000000002,9898.718635136518,10000.000000000004,10074.019801005099,34,48,0.0,381,381
2019-05-15,10000.0,10042.212735697934,10000.0,10084.836172378846,35,48,0.0,315,315
2019-05-16,9999.999999999998,9837.187898632554,10000.0,9985.450511877469,44,46,0.0,238,238
2019-05-17,10000.0,9982.011939167907,8780.673636337437,8471.197794752004,34,47,0.0,298,298
2019-05-20,10000.000000000004,9951.691570973873,10000.000000000002,10071.38624068513,46,45,0.0,302,302
2019-05-21,9999.999999999998,9979.83308413919,9999.999999999996,9959.158981054163,39,48,0.0,247,247
2019-05-22,10000.000000000005,9782.041230092573,10000.0,10065.818568418194,46,49,0.0,268,268
2019-05-23,9999.999999999998,10223.728164023565,9999.999999999993,10057.291302992855,33,43,0.0,243,243
2019-05-24,10000.000000000002,9934.214669404639,10000.0,9993.327381607007,38,47,0.0,232,232
2019-05-28,10000.000000000002,9978.019277048083,9999.999999999998,9637.122479831207,43,47,0.0,271,271
2019-05-29,9999.999999999998,10040.947572948196,9999.999999999998,9964.92429121525,47,47,0.0,269,269
2019-05-30,10000.0,9875.511453189425,10000.000000000002,9811.13512304122,33,47,0.0,189,189
2019-05-31,9999.999999999998,10023.581718288415,10000.000000000004,9880.81688916881,35,46,0.0,218,218
2019-06-03,9999.999999999996,10134.31952727769,9999.999999999998,10080.415025960698,38,47,0.0,220,220
2019-06-04,10000.000000000002,10232.869414488277,10000.0,10136.47862352082,33,45,0.0,292,292
2019-06-05,10000.0,10061.992579220947,10000.000000000005,9927.737698692503,33,49,0.0,265,265
2019-06-06,10000.000000000005,10103.86342960934,10000.0,10012.946318012708,44,50,0.0,290,290
2019-06-07,9999.999999999998,10074.142789496847,10000.000000000007,10128.365860850465,34,44,0.0,332,332
2019-06-10,10000.000000000002,10098.966721364972,10000.000000000004,10100.09530649781,47,44,0.0,266,266
2019-06-11,10000.000000000002,9835.861487442919,10000.000000000004,9805.751136586576,43,49,0.0,183,183
2019-06-12,9999.999999999998,10031.546741077618,10000.0,10011.467456251174,35,46,0.0,234,234
2019-06-13,9999.999999999998,9895.272247202241,10000.0,9915.885868538202,44,45,0.0,223,223
2019-06-14,10000.000000000004,9973.948155658207,9999.999999999996,9934.141800870038,41,49,0.0,229,229
2019-06-17,9999.999999999995,10097.148799064797,10000.000000000005,10140.669886832715,36,46,0.0,229,229
2019-06-18,10000.0,10046.632755837873,10000.0,10192.901865829177,49,47,0.0,228,228
2019-06-19,10000.0,10130.612558924311,10000.0,10165.816094927532,36,43,0.0,235,235
2019-06-20,10000.0,9929.50449114685,10000.0,9988.560533245,33,48,0.0,219,219
2019-06-21,10000.000000000002,9960.229874114857,10000.000000000002,10027.416693687599,47,49,0.0,239,239
2019-06-24,9999.999999999996,9947.71897744772,9999.999999999998,9948.16353497993,38,46,0.0,239,239
2019-06-25,10000.000000000002,10017.096140958914,10000.000000000002,10046.856605957491,40,43,0.0,150,150
2019-06-26,10000.0,10006.629067539305,10000.0,10088.100775995437,40,42,0.0,169,169
2019-06-27,9999.999999999996,10070.485708294327,10000.000000000005,9980.238625717786,48,45,0.0,151,151
2019-06-28,10000.0,10239.69917882229,10000.0,10166.71351375659,47,44,0.0,249,249
2019-07-01,10000.0,9851.242605148613,9999.999999999998,9974.87179709074,31,46,0.0,262,262
2019-07-02,9999.999999999998,10091.490486648054,10000.000000000002,9934.159400235709,35,47,0.0,209,209
2019-07-03,10000.000000000004,9969.656862555194,10000.000000000004,10010.210504770685,29,48,0.0,264,264
2019-07-05,10000.0,9916.486895429178,10000.0,9948.733490482493,35,48,0.0,209,209
2019-07-08,10000.000000000002,10013.835780200618,10000.000000000002,9948.749966882093,30,48,0.0,228,228
