DATE,EARNING LONG,INVESTMENT LONG,EARNING SHORT,INVESTMENT SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-07-08,9881.58426803051,10000.0,9861.529667206572,10000.0,50,50,0.81,280,280
2019-07-09,10092.712668122302,10000.0,10125.116882156972,10000.0,50,50,0.93,231,231
2019-07-10,9984.671581682771,10000.0,9968.97532282047,10000.0,50,50,0.74,214,214
2019-07-11,10011.197504084817,10000.0,9947.847438630966,10000.0,50,50,0.85,228,228
2019-07-12,9972.516707996765,10000.0,9990.911528887624,10000.0,50,50,0.89,201,201
2019-07-15,10087.496370022593,10000.0,9838.387458852547,10000.0,50,50,0.82,287,287
2019-07-16,9990.15101860094,10000.0,10057.59339375882,10000.0,50,50,0.78,213,213
2019-07-17,9958.3882203366,10000.0,9866.462191778379,10000.0,50,50,0.86,217,217
2019-07-18,10084.595700148157,10000.0,9937.93281608792,10000.0,50,50,0.81,270,270
2019-07-19,9971.587593118968,10000.0,10235.86466813123,10000.0,50,50,0.83,409,409
2019-07-22,9991.12198572798,10000.0,10030.712465475734,10000.0,50,50,0.76,410,410
2019-07-23,10042.082070294637,10000.0,9953.415148507887,10000.0,50,50,0.76,345,345
2019-07-24,10067.896026943787,10000.0,10076.368714963133,10000.0,50,50,0.93,438,438
2019-07-25,10047.805765575515,10000.0,9591.173762986327,10000.0,50,50,0.96,427,427
2019-07-26,10030.422624182489,10000.0,10108.618767368374,10000.0,50,50,0.84,487,487
2019-07-29,9953.482794039435,10000.0,9919.39835985028,10000.0,50,50,0.89,595,595
2019-07-30,10103.135503103647,10000.0,10457.00771437115,10000.000000000007,50,49,0.898989898989899,517,517
2019-07-31,9831.539017362466,10000.0,9896.785051742263,10000.000000000007,50,49,0.7777777777777778,500,500
2019-08-01,10020.612071423933,10000.0,9766.057860703137,10000.0,50,50,0.89,603,603
2019-08-02,9698.121251847195,10000.0,9769.617981853635,10000.0,50,50,0.94,431,431
2019-08-05,10009.349096823218,10000.0,9975.482984146065,10000.0,50,50,0.81,578,578
2019-08-06,9952.663268335229,10000.0,10074.937683910288,10000.0,50,50,0.95,418,418
2019-08-07,10150.858968818637,10000.0,10131.533659661958,10000.0,50,50,0.93,349,349
2019-08-08,10087.681736162065,10000.0,10067.267811022273,10000.0,50,50,0.83,389,389
2019-08-09,9866.217728174079,10000.0,9484.642910739798,10000.0,50,50,0.83,525,525
2019-08-12,9957.738771691402,10000.0,9921.719154372022,10000.0,50,50,0.83,383,383
2019-08-13,10033.486364988783,10000.0,9869.005849590685,10000.0,50,50,0.83,312,312
2019-08-14,9815.99671168804,10000.0,9737.67050530092,10000.0,50,50,0.96,344,344
2019-08-15,10089.202069353829,10000.0,10017.779419216933,10000.0,50,50,0.67,353,353
2019-08-16,10132.47876394832,10000.0,10244.35634025886,10000.0,50,50,0.88,228,228
2019-08-19,10188.934996922048,10000.0,9888.06555247861,10000.0,50,50,0.85,244,244
2019-08-20,10046.710433815915,10000.0,10129.392746640355,10000.0,50,50,0.85,329,329
2019-08-21,10106.477489992914,10000.0,10039.374538997074,10000.0,50,50,0.93,322,322
2019-08-22,9950.815881959232,10000.0,9940.162433569047,10000.0,50,50,0.88,304,304
2019-08-23,9870.247896665382,10000.0,9827.082142939245,10000.0,50,50,0.73,284,284
2019-08-26,10094.94834244581,10000.0,9960.234082457071,10000.0,50,50,0.8,338,338
2019-08-27,9847.536778301512,10000.0,9737.996541275816,10000.0,50,50,0.76,190,190
2019-08-28,10237.559047364435,10000.0,10236.06528718706,10000.0,50,50,0.8,263,263
2019-08-29,10086.130784451863,10000.0,10037.092076736895,10000.0,50,50,0.91,331,331
2019-08-30,9944.129893970474,10000.0,9919.743833192302,10000.0,50,50,0.86,413,413
2019-09-03,10104.987084019467,10000.0,10023.819664459104,10000.0,50,50,0.89,423,423
2019-09-04,10244.769472730184,10000.0,10255.497635052116,10000.0,50,50,0.87,300,300
2019-09-05,10060.91109966753,10000.0,10049.903753613233,10000.0,50,50,0.9,358,358
2019-09-06,10007.567598075597,10000.0,10118.87899139752,10000.0,50,50,0.91,339,339
2019-09-09,10014.248828353633,10000.0,9982.207347001196,10000.0,50,50,0.89,341,341
2019-09-10,10138.664073223137,10000.000000000007,10232.947954382098,10000.0,49,50,0.9292929292929293,249,249
2019-09-11,10124.988040318238,10000.0,10118.135788954663,10000.0,50,50,0.89,367,367
2019-09-12,10055.159548362122,10000.0,10022.326172977131,10000.0,50,50,0.77,315,315
2019-09-13,9997.404423601785,10000.0,10057.769200988754,10000.0,50,50,0.9,294,294
2019-09-16,10030.451241726443,10000.0,9990.498111021318,10000.0,50,50,0.89,221,221
2019-09-17,9833.945590432528,10000.0,10002.909329056065,10000.0,50,50,0.9,232,232
2019-09-18,9976.322642163092,10000.0,9956.05234144981,10000.0,50,50,0.82,230,230
2019-09-19,9938.775075024854,10000.0,9862.656039061607,10000.0,50,50,0.81,297,297
2019-09-20,10007.530628563518,10000.0,9853.87782820823,10000.0,50,50,0.8,325,325
2019-09-23,10019.66864432417,10000.0,9959.538714224527,10000.0,50,50,0.92,284,284
2019-09-24,9874.319034507875,10000.0,9835.555876314786,10000.0,50,50,0.88,269,269
2019-09-25,10063.26913797314,10000.0,10045.241220370282,10000.0,50,50,0.9,253,253
2019-09-26,9716.795563618523,10000.0,9934.902592378088,10000.0,50,50,0.89,283,283
