word,O+ value,O- value
last,0.0026156710587036647,0.004801990463772155
unconfirmed,0.0016242126662348699,0.0010578046688657736
rumor,0.0077867373163730946,0.0048445113203662874
remove,0.0010506688148366654,0.002495006805574099
authorize,0.0007763284577539267,0.0012939836856227587
conference,0.0037960105880602535,0.0031494885520322665
retirement,0.0021752417985584933,0.00206611192907845
today,0.008852571086555535,0.0062098261046315845
extend,0.004041169560992381,0.003158444359148674
full,0.0021305075674436565,0.0012539262295551848
development,0.0025497550002589096,0.0034325977889236694
spike,0.008203153986783892,0.0033796846883039503
safety,0.001603114988309778,0.002005435942617415
gain,0.007680917446682053,0.00402124303478911
brand,0.007340339472272413,0.0035026013283872615
drop,0.004432100328159167,0.008696968035906812
arna,0.0,0.0034648612056076334
public,0.0035677921661543405,0.005776076892703592
impact,0.0013439462085925611,0.003368711831978093
authorization,0.0011917503977363433,0.0009457033309498125
decline,0.00311003653940916,0.00548286023164666
bed,0.0,0.0017840437445240977
reject,0.000877803787910191,0.0017458758795778218
statement,0.0011497069129929708,0.0020310425079716117
light,0.002127412652789811,0.0016334738780451746
west,0.001234266883044313,0.001335773958669565
climb,0.0029812931445781067,0.0011048408115674853
green,0.014139095131277056,0.002058435877650567
education,0.003868481513170682,0.0003426742090379731
smith,0.0011770864177309108,0.0017725925431197908
pop,0.0038205363576713776,0.0015056665741801916
recommend,0.002306737329674887,0.0014435611552528623
rebound,0.0024136420911401416,0.0016376160257540317
mu,0.0015411913147725504,0.0013586146825947463
pressure,0.001727778860627261,0.0029664223187934767
roll,0.002324029416364957,0.0031773893276368765
solar,0.0038016518440394773,0.012130681483907228
avoid,0.00017590971966129722,0.0027664045720875463
annual,0.002396579091979491,0.0017528026951190638
rodman,0.0013173989874908053,0.0021724269192405416
soar,0.007207091030927865,0.0014203967362861364
diagnostics,0.0016854641869981323,0.0
wireless,0.002376625504197487,0.001027671429949308
red,0.012430784842869828,0.001946160439019425
twelve,0.0014535089321007326,0.0021046478819479065
volatility,0.002224851832292628,0.0021826160344225604
adobe,0.0,0.007827962638621917
lawsuit,0.002103334852745556,0.002367973335597236
mention,0.003551297295418939,0.002701658051540605
flat,0.002006955323749361,0.0041264246388231125
know,0.0016473113283972463,0.0020574559519034442
progress,0.0023911703441168064,0.0016983229772970132
hum,0.0002908473405465759,0.0025853291096186283
strength,0.0027299751453916995,0.0006583154434735185
reserve,0.001415850222473678,0.00209843645141229
number,0.0023725459579915344,0.0016199348265437132
reduce,0.0026944146031763977,0.0039931061733378395
city,0.0013204568887265646,0.0012058615514244472
shelf,0.0017999052008253252,0.001805021000026019
bull,0.005857612779335641,0.006026435104483047
weak,0.002587923803830426,0.0036049410524774035
dig,0.0025845033203594006,0.0018993496634821846
farm,0.002578805910481917,0.002565850011789385
moo,0.0029762060059438703,0.0012051763802768834
domestic,0.0016542949471493864,0.0008936597130791152
plant,0.0020988284972281567,0.00292914697456484
tax,0.0015932997660737492,0.003178658108127721
coffee,0.000748858154937482,0.0029553556183762888
toll,0.0027289261149936734,0.0
resistance,0.0018569719516072594,0.0009404144857921231
automatic,0.0001665743747026871,0.0019152154660539032
intuit,0.0,0.004488321567637588
ford,0.0024014397758998504,0.0011747480569552448
dish,0.0065307870265028725,0.0
beyond,0.00024096146068202143,0.0022389271928789705
caterpillar,0.0009805374706272592,0.003042271433601121
warner,0.0033296704811344295,0.0002801759549882012
apparel,9.870567631867904e-05,0.003879490981881581
mi,0.0014570387410901386,0.0015354726642575157
among,0.0019231401028808202,0.0007585786015297522
jazz,0.0,0.0029641098776220396
eagle,0.0,0.006807107466045529
dominion,0.0025541598990890964,0.0
crisis,0.0005793239032529355,0.003791794846591703
exploration,0.0026347019616183246,0.001519777673506177
worry,0.0011237236119577543,0.0014938007181333178
bearish,0.0026656119268860727,0.0028366824823319735
urban,0.004665275625041577,4.757030868781463e-05
aes,0.0004580848797271925,0.002850799261643409
concern,0.001131740624138205,0.0019434677136611358
auction,0.0006348061107319522,0.0019313777272208239
german,0.0,0.0032924039667330397
par,0.0022947716391018827,0.0004714672377320012
whirlpool,0.0025551464378776607,0.00013241880159699443
reverse,0.001185988041126691,0.0015371995630583653
pall,0.010341778711129766,0.0
ura,0.0018418520088188135,0.0018243274079751744
oversold,0.0011596855622933526,0.0021223493733642943
collins,0.0014980603202471537,0.0021773216925047635
arrow,0.0,0.003408250164859726
em,4.5288070074384904e-05,0.003081263754978614
pizza,0.00039360771272786373,0.0023487455862852362
shale,0.0031978946129126817,0.002147694384549979
tower,0.0001768447393731251,0.0047473170859302066
crown,0.0,0.0032246893095888027
castle,0.0,0.0016160659450286565
republic,0.0014510339226034847,0.0012789156461681635
quest,0.002005991414143678,0.0
since,0.0014175690067923636,0.001016641475373445
transport,0.0009510885521402458,0.002263370952659711
lot,0.00035436730288329187,0.0036108645443959906
deck,0.002906621816481772,0.0
bath,0.0,0.0016771994255247954
box,0.0,0.00255549984153618
chevron,0.0009006176232615168,0.0018564787365592536
clear,0.00034301409286781613,0.002899386452628821
transocean,0.005104887527748932,0.0003299676418549886
tractor,0.003119935108470704,0.0
