DATE,LONG CORRECT,SHORT CORRECT,EARNING LONG,EARNING SHORT,NUMBER LONG,NUMBER SHORT,TURNOVER %,TOTAL FIRMS WITH ARTS,HEADLINES WITH SENTIMENT WORDS
2019-02-14,28,13,72.0199799539,-49.67003750820002,33,50,0.891566265060241,261,91
2019-02-18,21,27,4.269976735100023,33.70741057400004,32,50,0.9024390243902439,264,100
2019-02-19,18,22,-1.6859831812000277,-4.920664787300074,32,50,0.9390243902439024,288,126
2019-02-20,21,38,18.970006704399992,40.71194708329999,33,50,1.036144578313253,309,123
2019-02-21,24,27,27.326121806999954,21.2491897347,43,49,0.717391304347826,205,71
2019-02-24,19,15,55.969994545099986,-71.97509169549993,22,49,1.3098591549295775,237,109
2019-02-25,19,35,2.7240753173000405,43.07429027529999,50,50,0.74,274,137
2019-02-26,19,23,-43.083208501099904,-8.3419632908,36,50,1.0465116279069768,250,116
2019-02-27,31,31,-12.087934732700035,47.43998384520002,50,50,0.71,268,104
2019-02-28,21,27,26.895116328999954,22.539990425100005,30,50,1.1,194,95
2019-03-03,25,25,13.170032620300011,-60.8864243032,43,50,0.7634408602150538,225,96
2019-03-04,13,36,-23.135093092699975,64.70968329929998,34,50,0.7261904761904762,217,78
2019-03-05,15,31,27.61000776289999,9.107444644399965,22,50,1.0416666666666667,243,115
2019-03-06,15,41,-7.4500520825999565,83.71622478960002,39,50,0.7078651685393258,230,102
2019-03-07,5,36,-9.665006756699967,47.294295489700005,17,50,0.9104477611940298,166,80
2019-03-10,18,25,27.999991297799983,-8.03998565670002,22,50,0.8055555555555556,210,64
2019-03-11,25,6,31.98976063700006,8.290021657899974,35,29,0.96875,190,64
2019-03-12,13,24,29.68668007849998,196.93949234480004,21,43,0.90625,185,72
2019-03-13,18,20,9.87149524660001,9.49330866340004,28,44,0.8055555555555556,171,69
2019-03-14,10,25,3.440016746699961,-15.55745977130006,16,50,0.8636363636363636,167,64
2019-03-17,29,15,44.92505645739992,4.820029377999974,35,29,1.265625,221,87
2019-03-18,29,18,36.40066242229999,35.43331837710002,37,50,0.632183908045977,188,65
